Category,JIRA,Feature/Capability,Description,Provider,Enterprise,Accounts,IREN,TT,Offtake
Platform Services,,Provider (operator) API (Atlas),"REST/JSON provider-facing API exposing all infrastructure operations, lifecycle management, and cross-tenant visibility.",X,X,"IREN, TTU, Offtake",,,
Platform Services,,Tenant API (Arc),Tenant-scoped API capability for Atlas APIs,X,X,"IREN, Offtake",,,
Platform Services,,API Auth Service,"Centralized auth/authz gateway for all API calls, supporting provider and tenant-scoped roles with token issuance and key rotation.",X,X,"IREN, TTU, Offtake",,,
Platform Services,,Platform Analytics Services,"Operational reporting on capacity utilization, provisioning KPIs, FinOps, and per-tenant GPU-hour usage.",X,X,"IREN, Offtake",,,
Platform Services,AIP-143,Telemetry Services,"Telemetry data collection and warehousing of raw metrics, logs, events, and trace data on created resources and the management plane.",X,X,"IREN, Offtake",,,
Platform Services,AIP-144,Usage Metering Data Service,Append-only usage records per resource with tenant/time-range export and daily rollup summarization.,X,X,"IREN, TTU, Offtake",,,
Platform Services,AIP-136,Notification Service,Routes platform events to in-app feeds and webhooks with provider-wide or tenant-scoped delivery and severity mapping.,X,X,"IREN, TTU, Offtake",,,
Platform Services,AIP-128,Audit Service,"Immutable, tenant-scoped audit trail for all sensitive and state-changing operations with export capabilities.",X,X,"IREN, TTU, Offtake",,,
Tenant & Identity,AIP-126,Tenant Lifecycle Management,"Create, update, suspend, disable, and delete tenants with billing ID, egress policy, and quota assignment.",X,X,"IREN, TTU, Offtake",,,
Tenant & Identity,,Tenant Quota Management,"Set and enforce per-tenant limits on GPU types, CPU, RAM, storage, and cluster count.",X,,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,Bare Metal Host Registration,"Register individual servers with BMC endpoint, credentials, hardware attributes, and rack/location tags via API.",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-132,Bulk Host Registration,Import multiple hosts simultaneously via CSV or JSON with duplicate detection and BMC reachability validation.,X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,Host State Tracking,"Track and drive host lifecycle transitions (Registered, Provisioning, Ready, Allocated, Unregistering, Decommissioned).",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,"Host, Labeling, Tagging, & Filtering","Attach and query tags (GPU model, type, rack, tenant) for host discovery and allocation targeting. Host APIs should allow filtering and selecting using tags.",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-21,Machine Type / Persona Management,Define named machine types (e.g. k8s-gpu-worker-h100) that bind a host role to required OS image and config.,X,,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,Bare Metal OS Provisioning,"Directly provision a host from pool of registered servers, writing OS image to disk, configuring networking, and tracking state through to Ready.",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,Bare Metal Cluster Provisioning,"Directly provision multiple nodes into a group (Cluster) from pool of registered servers, writing OS image to disk, configuring networking, and tracking state through to Ready.",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-58,Bare Metal Cluster Provisioning with Automated GPU Networking,"Directly provision multiple nodes into a group (Cluster) from pool of registered servers, writing OS image to disk, configuring networking (Including E/W), and tracking state through to Ready.",X,X,"IREN, TTU, Offtake",,,
Network & IPAM Config,AIP-138,Network Inventory,"Define and manage provider-wide networks (node, storage, east-west GPU, management, egress) with CIDR, VLAN/VXLAN, and VRF metadata.",X,X,"IREN, TTU, Offtake",,,
Network & IPAM Config,AIP-58,InfiniBand Domain Management,"Automatically create during cluster creation, and view InfiniBand domains with PKEY/MKEY assignment per tenant for east-west GPU network isolation.",X,X,"IREN, TTU, Offtake",,,
Network & IPAM Config,AIP-138,Tenant Network Assignment,Attach provider networks to tenants and allocate per-tenant IP pools for node and load balancer addressing.,X,X,"IREN, TTU, Offtake",,,
Network & IPAM Config,AIP-138,Tenant IPAM,Dynamically allocate and release IP addresses to clusters and node pools from tenant-assigned CIDRs.,X,X,"IREN, Offtake",,,
Network & IPAM Config,,SDN Integration Foundation (Netris/Verity),Automate bare metal switch configuration for north-south and east-west network changes through an SDN backend integration.,X,?,"IREN, Offtake",,,
Network & IPAM Config,Stretch,Netbox Integration,,X,X,,,,
Network & IPAM Config,,Cluster Network Configuration,"Select node networks, pod/service CIDRs, CNI plugin, and ingress/LB network per cluster at creation time.",X,X,"IREN, Offtake",,,
Storage Integrations,AIP-131,Unified CSI Deployment,Inject and configure vendor-specific CSI drivers into tenant clusters based on the selected cluster template.,X,X,"IREN, Offtake",,,
Storage Integrations,AIP-131,VAST Data Integration,Abstract VAST-specific APIs into native platform APIs for storage management without direct vendor pass-through.,X,,IREN,,,
Storage Integrations,AIP-131,Storage Volume & Filesystem Management,"CRUD operations for volumes and filesystems with capacity, quota, and mounting parameter management.",X,?,"IREN, Offtake",,,
Storage Integrations,AIP-131,Storage Access Rights Management,Manage and audit tenant-scoped access rights to storage resources for compliance and isolation enforcement.,X,?,"IREN, Offtake",,,
Kubernetes as a Service,,Cluster Configurations,Base level abstraction for K8s cluster creation on specific hardware with specific configurations,X,X,"IREN, Offtake",,,
Kubernetes as a Service,,Stacks (Cluster type + Services),,X,X,IREN,,,
Kubernetes as a Service,AIP-98,Hosted Control Planes (HCP),"Deploy and manage tenant cluster control planes as VMs on a provider-owned host cluster via k0smotron, invisible to the tenant.",X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-73,HCP Host Cluster Registration,Register and manage k8s clusters as HCP hosts with capacity tracking and lifecycle state management.,X,X,"IREN, Offtake",,,
Kubernetes as a Service,Stretch,Control Plane Sizing Classes,Define named resource classes (e.g. cp-small: 2vCPU/4GiB) for hosted control plane allocation.,?,?,"IREN, Offtake",,,
Kubernetes as a Service,AIP-127,Kubernetes Cluster Create,"Provision a full tenant cluster by allocating hosts from the pool of registered servers, writing OS image to disk, configuring any networking, installing the control plane, joining workers, and installing required add-ons.",X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-127,Kubernetes Cluster Create with Automated GPU Networking,Cluster creation that additionally configures InfiniBand/RoCE east-west GPU networking via UFM during the provisioning workflow.,X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-127,Cluster Nodes Scale Up / Down,"Manually Add or remove worker or control plane nodes (bare metal OR VMs) from a running cluster within tenant quota limits, with automatic host allocation or return to prepared pool.",X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-127,Cluster Rolling Upgrade,Upgrade Kubernetes version or OS image for control plane and node pools sequentially with add-on compatibility validation.,X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-127,Cluster Delete,"Tear down a cluster, release host allocations, free IP pools and LB addresses, and write final audit and usage records.",X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-81,Kubeconfig Management,Generate and provide retreiveal for kubeconfigs per cluster with provider admin access to the admin kubeconfig for support.,X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-81,RBAC-Scoped Kubeconfig Issuance,Create kubeconfigs with scoped RBAC for specific tenant users or roles with certificate/token rotation.,X,X,"IREN, Offtake",,,
Kubernetes as a Service,AIP-81,SSH Access Management,Inject SSH keys at provisioning time and allow retrieval via API,X,X,"IREN, TTU, Offtake",,,
Kubernetes as a Service,AIP-81,Cluster Endpoint Access,Expose control plane endpoint URLs and CA certificates for cluster connectivity.,X,X,"IREN, Offtake",,,
Governance & Observability,AIP-136,Structured Event Stream,"Emit and query structured lifecycle events for tenant, host, and cluster operations with scope filtering.",X,X,"IREN, TTU, Offtake",,,
Governance & Observability,AIP-127,Cluster & Host Health Status,Expose per-cluster and per-host health state (Ready / Degraded / Error) with human-readable reasons via API.,X,X,"IREN, TTU, Offtake",,,
Governance & Observability,Stretch,Secrets & Credential Management,"Securely store BMC credentials, kubeconfigs, SSH keys, and cluster certs with key rotation and strict tenant/provider scoping.",X,X,"IREN, TTU, Offtake",,,
Kubernetes as a Service,K0RDENT-219,Deploy MKE4 Child Cluster,,,X,,,,
Kubernetes as a Service,BOP-3476,Integrate and Deploy MKE4 RBAC Policies,,,X,,,,
Kubernetes as a Service,K0RDENT-260,MKE UI Launch/Integration from K0rdent AI UI,,,X,,,,